"ID","datetime_UTC","release_datetime_UTC","Healed.Scars","X_UTM","Y_UTM"
17007,"2017-08-17 10:02:43","2017-08-06 01:24:00",TRUE,505903.50437539,8009562.78933384
17007,"2017-08-17 11:02:43","2017-08-06 01:24:00",TRUE,507168.264844237,8007166.55711464
17007,"2017-08-17 12:02:43","2017-08-06 01:24:00",TRUE,505848.967460496,8007730.1207616
17007,"2017-08-17 13:02:43","2017-08-06 01:24:00",TRUE,503771.044911952,8010045.05789435
17007,"2017-08-17 14:02:43","2017-08-06 01:24:00",TRUE,503924.366973846,8010251.41880945
17007,"2017-08-17 15:02:43","2017-08-06 01:24:00",TRUE,503606.03441938,8010170.96011486
17007,"2017-08-17 16:02:43","2017-08-06 01:24:00",TRUE,505223.274600079,8010125.47200446
17007,"2017-08-17 17:02:43","2017-08-06 01:24:00",TRUE,505882.739189511,8008110.16290053
17007,"2017-08-18 00:12:13","2017-08-06 01:24:00",TRUE,516969.807860848,7996910.42224649
17007,"2017-08-18 01:12:13","2017-08-06 01:24:00",TRUE,518630.401809524,7997068.77218568
17007,"2017-08-18 02:12:13","2017-08-06 01:24:00",TRUE,518600.024845645,8000190.32113113
17007,"2017-08-18 03:12:13","2017-08-06 01:24:00",TRUE,518019.660680633,8004353.07251689
17007,"2017-08-18 04:12:13","2017-08-06 01:24:00",TRUE,517217.446703518,8009609.73193459
17007,"2017-08-18 05:12:13","2017-08-06 01:24:00",TRUE,518906.675754989,8014257.38467417
17007,"2017-08-18 06:12:13","2017-08-06 01:24:00",TRUE,517110.402022828,8015695.66481329
17007,"2017-08-18 07:12:13","2017-08-06 01:24:00",TRUE,513524.741793666,8018327.90918648
17007,"2017-08-18 08:12:13","2017-08-06 01:24:00",TRUE,510171.634806587,8015303.13514781
17007,"2017-08-18 09:12:13","2017-08-06 01:24:00",TRUE,507423.875055396,8016270.3229216
17007,"2017-08-18 10:12:13","2017-08-06 01:24:00",TRUE,508359.61044967,8012957.87373642
17007,"2017-08-18 11:12:13","2017-08-06 01:24:00",TRUE,509389.735319159,8010927.98744777
17007,"2017-08-18 12:12:13","2017-08-06 01:24:00",TRUE,510024.613936608,8012280.86270974
17007,"2017-08-18 13:12:13","2017-08-06 01:24:00",TRUE,508158.706982002,8015300.33765835
17007,"2017-08-18 14:12:13","2017-08-06 01:24:00",TRUE,510226.846804681,8018362.20210735
17007,"2017-08-18 15:12:13","2017-08-06 01:24:00",TRUE,509304.244145864,8021435.36096949
17007,"2017-08-18 16:12:13","2017-08-06 01:24:00",TRUE,508378.157492967,8018618.86757215
17007,"2017-08-18 17:12:13","2017-08-06 01:24:00",TRUE,505956.709322156,8012861.67813051
