"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_est_re","beta_cov_SE_re","beta_cov_95LCI_re","beta_cov_95UCI_re","beta_cov_in_95CI_re","beta_cov_proxy_est_re","beta_cov_proxy_SE_re","beta_cov_proxy_95LCI_re","beta_cov_proxy_95UCI_re","beta_cov_proxy_in_95CI_re","beta_cov_est_no_re","beta_cov_SE_no_re","beta_cov_95LCI_no_re","beta_cov_95UCI_no_re","beta_cov_in_95CI_no_re","beta_cov_proxy_est_no_re","beta_cov_proxy_SE_no_re","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_re","converg_mess_no_re","beta_cov_sim","beta_cov_proxy_sim","beta_sim_factor","proxy_factor","beta_cov_proxy_95LCI_no_re","beta_cov_proxy_95UCI_no_re"
22,10,15,25,22,0.625326773561469,0.18169091546597,0.269219122930056,0.981434424192883,NA,0.586039234255658,0.217201066617875,0.160332966280937,1.01174550223038,NA,0.677875220060511,0.155374513218531,0.373346770036747,0.982403670084276,NA,0.504506285457826,0.187414285337579,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.137181036007858,0.871831534907794
23,10,15,25,23,0.38265436263875,0.171394751503426,0.0467268225528435,0.718581902724656,NA,1.20198460542304,0.213611596048605,0.783313570487659,1.62065564035843,NA,0.215097616941328,0.1933117764712,-0.163786502729682,0.593981736612338,NA,0.708563450776075,0.190485243108647,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.335219234696771,1.08190766685538
24,10,15,25,24,0.580630571648463,0.183808312480935,0.220372899126747,0.940888244170179,NA,1.13798551665581,0.225774667676341,0.695475299388679,1.58049573392294,NA,0.533585528245967,0.211282814084411,0.11947882208825,0.947692234403685,NA,0.618482667849695,0.196973102902907,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.232422480236894,1.00454285546249
25,10,15,25,25,0.187213868437784,0.169149563986015,-0.144313184975459,0.518740921851026,NA,1.26393697580871,0.214013839182599,0.844477558817668,1.68339639279975,NA,0.00709020291249594,0.166779095788072,-0.319790818206281,0.333971224031273,NA,0.984485506361375,0.195662624000863,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.600993810199081,1.36797720252367
26,10,15,25,26,0.774893188746857,0.179098574545091,0.423866432956016,1.1259199445377,NA,1.08934234398995,0.221478317589322,0.655252818158355,1.52343186982155,NA,0.740680490294477,0.199132153682801,0.350388640912292,1.13097233967666,NA,0.530476755329648,0.17905087801545,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.179543483019092,0.881410027640205
27,10,15,25,27,0.729562164017065,0.191169774408848,0.354876291243076,1.10424803679105,NA,1.06575941892601,0.23488504967226,0.605393181061481,1.52612565679054,NA,0.61614502754765,0.209577199355936,0.205381264829244,1.02690879026606,NA,0.620575916527959,0.201516672641163,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.225610495866932,1.01554133718899
28,10,15,25,28,0.574705037651445,0.194552653091813,0.193388844494776,0.956021230808113,NA,0.802203628505171,0.233117960034858,0.345300822687403,1.25910643432294,NA,0.504342042222353,0.198984439346583,0.114339707619156,0.89434437682555,NA,0.665945203830947,0.221812211059633,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.231201258822869,1.10068914883903
29,10,15,25,29,0.709497638231757,0.190373013610443,0.336373387926935,1.08262188853658,NA,1.02346965355062,0.23561155215305,0.561679496989065,1.48525981011218,NA,0.651183347891376,0.210825105447861,0.23797373417671,1.06439296160604,NA,0.592531085192356,0.201113344298862,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.198356173556181,0.98670599682853
30,10,15,25,30,0.407988325556561,0.190541686705751,0.0345334820597743,0.781443169053347,NA,0.987733272396223,0.231560425835198,0.533883177514477,1.44158336727797,NA,0.295226653898642,0.192463651833879,-0.081995172028818,0.672448479826101,NA,0.801290083883243,0.218256657102301,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.373514896576626,1.22906527118986
31,10,15,25,31,0.744340914374267,0.170087543022569,0.410975455831125,1.07770637291741,NA,0.932323623089774,0.208457909615393,0.523753627951098,1.34089361822845,NA,0.610497276167684,0.166739818034265,0.283693238031763,0.937301314303605,NA,0.744641675430019,0.19257713886931,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.367197419000403,1.12208593185964
