"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","converg.mess","AICc_baseline","AICc_new","deltaAICc"
77,0.5,0.483904382007215,0.0309989255751294,0.423147604320524,0.544661159693906,TRUE,0,37980.7285041706,37982.7280774552,1.99957328462187
78,0.5,0.487613913679519,0.0304439386366213,0.427944890404194,0.547282936954844,TRUE,0,37898.5896523209,37900.0864496111,1.49679729022318
79,0.5,0.529816356274963,0.0310948588448527,0.468871552834695,0.590761159715231,TRUE,0,37902.4768011221,37904.3317769412,1.85497581905656
80,0.5,0.538690148320682,0.0250317134087737,0.489628891568157,0.587751405073207,TRUE,0,37739.2857723894,37741.1299518171,1.84417942770961
81,0.5,0.51369492792695,0.0279087822195839,0.458994719924194,0.568395135929706,TRUE,0,37846.8164751403,37848.3823855464,1.56591040611966
82,0.5,0.516196648334384,0.0183107598970593,0.480308218406587,0.55208507826218,TRUE,0,37423.6263186322,37424.9499214824,1.32360285017057
83,0.5,0.508176791156965,0.0262220207923805,0.456782574802038,0.559571007511891,TRUE,0,37787.1187328627,37788.8242162749,1.70548341217363
84,0.5,0.524754315942809,0.0222055121213127,0.481232311926769,0.568276319958849,TRUE,0,37604.0884106122,37603.884636497,-0.203774115208944
85,0.5,0.473178925999924,0.0325426890085367,0.409396427583104,0.536961424416743,TRUE,0,37999.0681816698,38000.1817112923,1.11352962251112
86,0.5,0.535090104806723,0.0283849941529168,0.479456538565626,0.59072367104782,TRUE,0,37838.1112590517,37840.0902777381,1.97901868639747
87,0.5,0.549108772554653,0.0337301867578732,0.482998821317412,0.615218723791894,TRUE,0,37836.4777420303,37826.0427889378,-10.4349530924883
88,0.5,0.499194595748182,0.0234391979346237,0.453254611969814,0.54513457952655,TRUE,0,37770.2924343471,37768.600264234,-1.69217011316505
89,0.5,0.491304323998648,0.0298586649009949,0.432782416166247,0.549826231831048,TRUE,0,37933.3703134144,37935.2499604715,1.87964705705235
90,0.5,0.471664744445922,0.0331857992577869,0.406621773102483,0.53670771578936,TRUE,0,38016.4573618944,38017.4671623084,1.00980041403091
91,0.5,0.554663231786965,0.0380522657668642,0.480082161353765,0.629244302220166,TRUE,0,37911.2869532207,37912.3629552867,1.0760020660673
92,0.5,0.469878049763496,0.0279684731940524,0.415060849600579,0.524695249926412,TRUE,0,37852.0898335368,37852.1078469368,0.0180134000474936
93,0.5,0.491845481667274,0.0305706244762676,0.431928158708891,0.551762804625657,TRUE,0,37805.5380323058,37806.5775041774,1.03947187153972
94,0.5,0.547063106061189,0.0332934815302999,0.481809081341851,0.612317130780526,TRUE,0,37844.9674284267,37845.6232034912,0.655775064587942
95,0.5,0.521184653753641,0.0317792616292399,0.458898445505055,0.583470862002227,TRUE,0,37933.3614772896,37934.9483426021,1.58686531242711
96,0.5,0.532640048638273,0.0300706654829521,0.473702627300535,0.59157746997601,TRUE,0,37849.0267742419,37850.9537703588,1.92699611694115
97,0.5,0.476668056515587,0.0255726926735537,0.426546499887711,0.526789613143464,TRUE,0,37860.6994350123,37859.700304141,-0.999130871299712
98,0.5,0.517999350599279,0.0318914738857495,0.45549321036931,0.580505490829247,TRUE,0,37946.7268069711,37948.5596668603,1.83285988918942
99,0.5,0.504881921995816,0.0323600146115032,0.44145745881808,0.568306385173553,TRUE,0,37893.522113088,37894.2720508592,0.749937771259283
100,0.5,0.502714334009628,0.0263014530382887,0.45116443331351,0.554264234705745,TRUE,0,37860.3564808571,37862.3371125433,1.98063168617955
