"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","deltaAICc"
22,15,10,5,22,0.5,1,0.173655692719286,0.147477164854792,-0.115394238938182,0.462705624376754,NA,0.519683819052923,0.0422104748757231,0.436952808526173,0.602414829579673,NA,1.03835339319436,0.0525980564251513,0.935263096944263,1.14144368944447,NA,0,0,37606.4079866782,37529.2309470223,"0.5 1","-1: 15, 0: 10, +1: 5",77.1770396559077
23,15,10,5,23,0.5,1,0.172799413925015,0.136604921435998,-0.0949413122004641,0.440540140050493,NA,0.505367010883258,0.0335310415236305,0.439647377132825,0.571086644633691,NA,0.991752405282878,0.0412769797343084,0.910851011613044,1.07265379895271,NA,0,0,37660.5934463294,37552.7287560387,"0.5 1","-1: 15, 0: 10, +1: 5",107.864690290764
24,15,10,5,24,0.5,1,0.151515311783757,0.141274466646871,-0.125377554779215,0.42840817834673,NA,0.490001148461133,0.0338928568337375,0.423572369733835,0.556429927188431,NA,1.01834675334089,0.0419174973056485,0.936189968299766,1.10050353838202,NA,0,0,37678.9660059164,37582.3003983412,"0.5 1","-1: 15, 0: 10, +1: 5",96.6656075752253
25,15,10,5,25,0.5,1,0.191730224811424,0.141627947116909,-0.0858554507420604,0.469315900364908,NA,0.534048783012655,0.034408197646748,0.466609954852093,0.601487611173217,NA,1.01945093668843,0.042678610275988,0.935802397637275,1.10309947573959,NA,0,0,37548.9367967809,37456.2556950183,"0.5 1","-1: 15, 0: 10, +1: 5",92.681101762566
26,15,10,5,26,0.5,1,0.193592501807409,0.138019950883581,-0.0769216310723963,0.464106634687215,NA,0.524097837879929,0.0317518206298274,0.461865413001892,0.586330262757967,NA,0.987905380801825,0.0397019479084185,0.91009099278524,1.06571976881841,NA,0,0,37617.1302043521,37523.5765998849,"0.5 1","-1: 15, 0: 10, +1: 5",93.5536044672044
27,15,10,5,27,0.5,1,0.202719150152765,0.140629552571941,-0.0729097080502221,0.478348008355752,NA,0.538707414217881,0.0355368789359901,0.469056411380381,0.608358417055382,NA,1.0067401107012,0.0435062749765578,0.92146937864565,1.09201084275675,NA,0,0,37700.1283710455,37608.1905660244,"0.5 1","-1: 15, 0: 10, +1: 5",91.9378050210726
28,15,10,5,28,0.5,1,0.128654619330318,0.135248618689811,-0.136427802260501,0.393737040921137,NA,0.447540475306494,0.0407706182676313,0.367631531874506,0.527449418738482,NA,0.96172228821931,0.0494530980685977,0.864795997080931,1.05864857935769,NA,0,0,37812.3689529192,37734.5528677957,"0.5 1","-1: 15, 0: 10, +1: 5",77.8160851235152
29,15,10,5,29,0.5,1,0.134182890389764,0.141123464184704,-0.142414016785784,0.410779797565311,NA,0.474039884402013,0.0364911255111022,0.402518592644922,0.545561176159105,NA,1.00116048925146,0.0460238175016205,0.910955464517235,1.09136551398568,NA,0,0,37701.7698668467,37617.7250690046,"0.5 1","-1: 15, 0: 10, +1: 5",84.0447978420852
30,15,10,5,30,0.5,1,0.256632482346434,0.142531464554408,-0.0227240548439533,0.535989019536822,NA,0.600012899152045,0.0388145401756696,0.52393779833125,0.676087999972841,NA,1.02370902287403,0.0465823629657809,0.932409269146323,1.11500877660173,NA,0,0,37747.2488729292,37660.5269449234,"0.5 1","-1: 15, 0: 10, +1: 5",86.7219280057252
31,15,10,5,31,0.5,1,0.186788996425768,0.137898345545083,-0.0834867943702541,0.457064787221791,NA,0.515620849497488,0.0314028619329673,0.454072371097388,0.577169327897588,NA,0.987149014479725,0.039660645089515,0.90941557850065,1.0648824504588,NA,0,0,37584.8194378438,37490.8862733726,"0.5 1","-1: 15, 0: 10, +1: 5",93.9331644712511
